Gene Synonym,Gene name
CT23,ACRBP
OY-TES-1,ACRBP
SP32,ACRBP
ACS4,ACSL4
FACL4,ACSL4
LACS4,ACSL4
MRX63,ACSL4
MRX68,ACSL4
ACS2,ACSL5
ACS5,ACSL5
FACL5,ACSL5
ACS2,ACSL6
FACL6,ACSL6
KIAA0837,ACSL6
LACS2,ACSL6
LACS5,ACSL6
ACAS2L,ACSS1
ACECS2L,ACSS1
DJ568C11.3,ACSS1
MGC33843,ACSS1
ACAS2,ACSS2
ACECS,ACSS2
ACS,ACSS2
ACSA,ACSS2
DJ1161H23.1,ACSS2
FLJ21963,ACSS3
UC001KFO,ACTA2-AS1
UC001KFO.1,ACTA2-AS1
ZXF1,ACTA2-AS1
DKFZP686D0972,ACTBL2
ACTBP2,ACTBP8
ACTG,ACTG1
DFNA20,ACTG1
DFNA26,ACTG1
ACTGP2,ACTG1P2
ACTL2,ACTG1P2
ACTGP3,ACTG1P3
ACTGP9,ACTG1P9
ACTGP10,ACTG1P10
ACTL1,ACTG1P10
POTENP,ACTG1P24
ACTL6,ACTL6B
BAF53B,ACTL6B
SMARCN2,ACTL6B
TACT1,ACTL7B
CT57,ACTL8
C20ORF134,ACTL10
ACTN1-AS1,ACTN1-DT
C14ORF84,ACTN1-DT
FSGS1,ACTN4
ARP1,ACTR1A
ARP1A,ACTR1A
ARP1B,ACTR1B
CTRN2,ACTR1B
ARP3,ACTR3
ARP11,ACTR3B
ARP3BETA,ACTR3B
FKSG73,ACTR3BP2
ARP5,ACTR5
FLJ12785,ACTR5
INO80M,ACTR5
ACTR11,ACTR10
ARP10,ACTR10
ARP11,ACTR10
HARP11,ACTR10
AIP1,ACTRT1
ARIP1,ACTRT1
ARP-T1,ACTRT1
KIAA0705,ACTRT1
ACTR-IIB,ACVR2B
ADA1,ADA
ADGF,ADA2
CECR1,ADA2
IDGFL,ADA2
TENR,ADAD1
FLJ00337,ADAD2
TENRL,ADAD2
CT15,ADAM2
FTNB,ADAM2
PH-30B,ADAM2
PH30,ADAM2
ADAM3,ADAM3A
CYRN1,ADAM3A
TMDCI,ADAM3A
CYRN2,ADAM3B
ADAM5P,ADAM5
TMDCII,ADAM5
C14ORF96,ADAM6
TMDCIV,ADAM6
CD156,ADAM8
CD156A,ADAM8
MS2,ADAM8
CORD9,ADAM9
KIAA0021,ADAM9
MCMP,ADAM9
MDC9,ADAM9
MLTNG,ADAM9
CD156C,ADAM10
HST18717,ADAM10
KUZ,ADAM10
MADM,ADAM10
MDC,ADAM11
MCMPMLTNA,ADAM12
MLTN,ADAM12
ADAM27,ADAM18
TMDCIII,ADAM18
MLTNB,ADAM19
ADAM31,ADAM21
MDC3,ADAM23
CT73,ADAM29
SVPH1,ADAM29
C20ORF153,ADAM33
DJ964F7.1,ADAM33
DKFZP434K0521,ADAM33
C3-C5,ADAMTS1
KIAA1346,ADAMTS1
METH1,ADAMTS1
ADAMTS11,ADAMTS5
ADMP-2,ADAMTS5
ADAM-TS7,ADAMTS7
DKFZP434H204,ADAMTS7
ADAMTS7P2,ADAMTS7P1
KIAA1312,ADAMTS9
C9ORF8,ADAMTS13
DKFZP434C2322,ADAMTS13
FLJ42993,ADAMTS13
MGC118899,ADAMTS13
MGC118900,ADAMTS13
TTP,ADAMTS13
VWF-CP,ADAMTS13
VWFCP,ADAMTS13
ADAMTS16S,ADAMTS16
FLJ16363,ADAMTS17
FLJ32769,ADAMTS17
ADAMTS21,ADAMTS18
RP11-346A9.1,ADAMTS19-AS1
ADAMTSR1,ADAMTSL1
C9ORF94,ADAMTSL1
FLJ35283,ADAMTSL1
KIAA1233,ADAMTSL3
PUNCTIN-2,ADAMTSL3
CENTA1,ADAP1
GCS1L,ADAP1
ADAR2,ADARB1
ADAR2A,ADARB1
ADAR2A-L1,ADARB1
ADAR2A-L2,ADARB1
ADAR2A-L3,ADARB1
ADAR2B,ADARB1
ADAR2C,ADARB1
ADAR2D,ADARB1
ADAR2G,ADARB1
DRABA2,ADARB1
DRADA2,ADARB1
HRED1,ADARB1
RED1,ADARB1
ADAR3,ADARB2
HRED2,ADARB2
RED2,ADARB2
BA466B20.1,ADARB2-AS1
C10ORF109,ADARB2-AS1
NCRNA00168,ADARB2-AS1
DEADC1,ADAT2
DJ20N2.1,ADAT2
TAD2,ADAT2
TAD3,ADAT3
FLJ39600,ADCK1
MGC20727,ADCK2
FLJ35454,ADCK5
AC1,ADCY1
DFNB44,ADCY1
AC2,ADCY2
HBAC2,ADCY2
KIAA1060,ADCY2
AC4,ADCY4
AC7,ADCY7
KIAA0037,ADCY7
AC8,ADCY8
ADCY3,ADCY8
HBAC1,ADCY8
AC9,ADCY9
HCA2,ADCY10
RP1-313L4.2,ADCY10
SAC,ADCY10
SACI,ADCY10
SACY,ADCY10
PACAP,ADCYAP1
ADDB,ADD2
ADDL,ADD3
GPR123,ADGRA1
KIAA1828,ADGRA1
GPR123-AS1,ADGRA1-AS1
FLJ38547,ADGRA3
GPR125,ADGRA3
PGR21,ADGRA3
BAI3,ADGRB3
KIAA0550,ADGRB3
DKFZP434B1272,ADGRD1
GPR133,ADGRD1
PGR25,ADGRD1
LACAT8,ADGRD1-AS1
CD312,ADGRE2
EMR2,ADGRE2
EMR3,ADGRE3
CD97,ADGRE5
TM7LN1,ADGRE5
GPR110,ADGRF1
HGPCR36,ADGRF1
PGR19,ADGRF1
DKFZP564O1923,ADGRF5
GPR116,ADGRF5
KIAA0758,ADGRF5
GPR116P1,ADGRF5P1
GPR56,ADGRG1
TM7LN4,ADGRG1
TM7XN1,ADGRG1
EDDM6,ADGRG2
GPR64,ADGRG2
HE6,ADGRG2
TM7LN2,ADGRG2
GPR97,ADGRG3
PB99,ADGRG3
PGR26,ADGRG3
GPR112,ADGRG4
PGR17,ADGRG4
RP1-299I16,ADGRG4
GPR114,ADGRG5
PGR27,ADGRG5
FLJ14937,ADGRG6
GPR126,ADGRG6
FLJ14454,ADGRG7
GPR128,ADGRG7
CIRL1,ADGRL1
KIAA0821,ADGRL1
LEC2,ADGRL1
LPHN1,ADGRL1
LPHN3-AS1,ADGRL3-AS1
ELTD1,ADGRL4
ETL,ADGRL4
DKFZP761P0710,ADGRV1
FEB4,ADGRV1
GPR98,ADGRV1
KIAA0686,ADGRV1
MASS1,ADGRV1
USH2C,ADGRV1
VLGR1,ADGRV1
ADH5B,ADH5P4
BA707M13.2,ADH5P4
APL1,ADI1
ARD,ADI1
FLJ10913,ADI1
HMFT1638,ADI1
MTCBP-1,ADI1
MTND,ADI1
SIPL,ADI1
MGC39724,ADIG
RP5-1100H13.2,ADIG
SMAF1,ADIG
ACDC,ADIPOQ
ACRP30,ADIPOQ
ADIPONECTIN,ADIPOQ
APM1,ADIPOQ
GBP28,ADIPOQ
ACDCR2,ADIPOR2
PAQR2,ADIPOR2
AFRO,ADIRF
APM2,ADIRF
C10ORF116,ADIRF
C20ORF27,ADISSP
FLJ20550,ADISSP
AK,ADK
AM,ADM
AM2,ADM2
FLJ21135,ADM2
ADNP1,ADNP
KIAA0784,ADNP
KIAA0863,ADNP2
ZNF508,ADNP2
ADORA2,ADORA2A
RDC8,ADORA2A
C22ORF45,ADORA2A-AS1
FLJ34651,ADORA2A-AS1
ADP-GK,ADPGK
DKFZP434B195,ADPGK
ARH2,ADPRHL1
C17ORF48,ADPRM
MDS006,ADPRM
ADRA1C,ADRA1A
ADRA1L1,ADRA1A
ADRA1,ADRA1D
ADRA1A,ADRA1D
ADRA1R,ADRA1D
ADRA2,ADRA2A
ADRA2R,ADRA2A
ADRAR,ADRA2A
ADRB1R,ADRB1
ADRB2R,ADRB2
ADRBR,ADRB2
B2AR,ADRB2
BAR,ADRB2
ARM1,ADRM1
GP110,ADRM1
PSMD16,ADRM1
RPN13,ADRM1
AIG1L,ADTRP
C6ORF105,ADTRP
DJ413H6.1,ADTRP
ACLP,AEBP1
FLJ12484,AEN
FLJ12562,AEN
ISG20L1,AEN
AFAP,AFAP1
AFAP-110,AFAP1
AFAP1-AS,AFAP1-AS1
AFAP1AS,AFAP1-AS1
MGC10981,AFAP1-AS1
FMR2,AFF2
FRAXE,AFF2
AF5Q31,AFF4
MCEF,AFF4
AFG1,AFG1L
LACE1,AFG1L
SCA28,AFG3L2
SPAX5,AFG3L2
AFG3L2P,AFG3L2P1
ASRG,AGA
LOC100130776,AGAP2-AS1
PUNISHER,AGAP2-AS1
